Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
Senegal,12/24/2014,1,0
Guinea,12/24/2014,2597,1607
Sierra Leone,12/24/2014,9004,2582
Spain,12/24/2014,1,0
Mali,12/24/2014,8,6
Liberia,12/24/2014,7862,3384
United States of America,12/24/2014,4,1
Senegal,12/26/2014,1,0
Mali,12/26/2014,8,6
Sierra Leone,12/26/2014,9203,2655
United States of America,12/26/2014,4,1
Nigeria,12/26/2014,20,8
Guinea,12/26/2014,2630,1654
Liberia,12/26/2014,7862,3384
Spain,12/26/2014,1,0
United States of America,12/29/2014,4,1
Sierra Leone,12/29/2014,9409,2732
Nigeria,12/29/2014,20,8
Mali,12/29/2014,8,6
Liberia,12/29/2014,7977,3413
Guinea,12/29/2014,2695,1697
Senegal,12/29/2014,1,0
Spain,12/29/2014,1,0
United States of America,12/30/2014,4,1
Sierra Leone,12/30/2014,9446,2758
Mali,12/30/2014,8,6
Liberia,12/30/2014,7977,3413
Guinea,12/30/2014,2706,1708
Spain,12/30/2014,1,0
Senegal,12/30/2014,1,0
Nigeria,12/30/2014,20,8
Spain,12/31/2014,1,0
Senegal,12/31/2014,1,0
Liberia,12/31/2014,8018,3423
Sierra Leone,12/31/2014,9446,2758
Mali,12/31/2014,8,6
Nigeria,12/31/2014,20,8
United States of America,12/31/2014,4,1
Guinea,12/31/2014,2707,1709
Nigeria,1/2/2015,20,8
Spain,1/2/2015,1,0
United States of America,1/2/2015,4,1
Senegal,1/2/2015,1,0
United Kingdom,1/2/2015,0,0
Liberia,1/2/2015,8018,3423
Sierra Leone,1/2/2015,9633,2827
Mali,1/2/2015,8,6
Guinea,1/2/2015,2730,1739
Sierra Leone,1/5/2015,9772,2915
Liberia,1/5/2015,8115,3471
Spain,1/5/2015,1,0
Nigeria,1/5/2015,20,8
United Kingdom,1/5/2015,0,0
Guinea,1/5/2015,2769,1767
United States of America,1/5/2015,4,1
Mali,1/5/2015,8,6
Senegal,1/5/2015,1,0
United Kingdom,1/6/2015,1,0
Guinea,1/6/2015,2775,1781
Sierra Leone,1/6/2015,9780,2943
Liberia,1/6/2015,8157,3496
Spain,1/6/2015,1,0
United States of America,1/6/2015,4,1
Senegal,1/6/2015,1,0
Nigeria,1/6/2015,20,8
Mali,1/6/2015,8,6
Spain,1/7/2015,1,0
Guinea,1/7/2015,2775,1781
Senegal,1/7/2015,1,0
Nigeria,1/7/2015,20,8
United Kingdom,1/7/2015,1,0
Mali,1/7/2015,8,6
United States of America,1/7/2015,4,1
Sierra Leone,1/7/2015,9780,2943
Liberia,1/7/2015,8157,3496
United Kingdom,1/8/2015,,0
Mali,1/8/2015,8,6
Guinea,1/8/2015,2776,1786
Sierra Leone,1/8/2015,10030,2977
Liberia,1/8/2015,8166,3496
Mali,1/9/2015,8,6
Guinea,1/9/2015,2793,1797
United Kingdom,1/9/2015,,0
Sierra Leone,1/9/2015,10030,2977
Liberia,1/9/2015,8263,3515
Liberia,1/12/2015,8278,3515
United Kingdom,1/12/2015,,0
Sierra Leone,1/12/2015,10094,3049
Mali,1/12/2015,8,6
Guinea,1/12/2015,2799,1807
United Kingdom,1/13/2015,,0
Mali,1/13/2015,8,6
Guinea,1/13/2015,2799,1807
Liberia,1/13/2015,8278,3515
Sierra Leone,1/13/2015,10094,3049
Liberia,1/14/2015,8331,3538
United States of America,1/14/2015,4,1
